"","trait_code","trait_label","description","cycle","time"
"1","d1map_generalappearanc","","","cycle_1","1_MAP"
"2","d1map_germination","","","cycle_1","1_MAP"
"3","d1map_vigor","","","cycle_1","1_MAP"
"4","d3map_aboutdiseaseres","","","cycle_1","3_MAP"
"5","d3map_aboutpestresis","","","cycle_1","3_MAP"
"6","d3map_aboutvigor","","","cycle_1","3_MAP"
"7","d6map_branchhabit","","","cycle_1","6_MAP"
"8","d6map_generalappearanc","","","cycle_1","6_MAP"
"9","d6map_stemappear6map","","","cycle_1","6_MAP"
"10","d9map_generalappearanc","","","cycle_1","9_MAP"
"11","d9map_overallbest9map","","","cycle_1","9_MAP"
"12","d9map_plantheightabove","","","cycle_1","9_MAP"
"13","d9map_suitabilitysoils","","","cycle_1","9_MAP"
"14","X12map_boiledroots_choicreplantboil","","","cycle_1","12_MAP"
"15","X12map_boiledroots_cookedtaste","","","cycle_1","12_MAP"
"16","X12map_boiledroots_cookingtime","","","cycle_1","12_MAP"
"17","X12map_boiledroots_easepeeling","","","cycle_1","12_MAP"
"18","X12map_boiledroots_fibrousness","","","cycle_1","12_MAP"
"19","X12map_boiledroots_mealiness","","","cycle_1","12_MAP"
"20","X12map_boiledroots_overalboiledroot","","","cycle_1","12_MAP"
"21","X12map_boiledroots_overallperf","","","cycle_1","12_MAP"
"22","X12map_boiledroots_softness","","","cycle_1","12_MAP"
"23","X12map_flour_based_meal_choicreplantflou","","","cycle_1","12_MAP"
"24","X12map_flour_based_meal_colorcasspaste","","","cycle_1","12_MAP"
"25","X12map_flour_based_meal_easedrying","","","cycle_1","12_MAP"
"26","X12map_flour_based_meal_easemingling","","","cycle_1","12_MAP"
"27","X12map_flour_based_meal_overalpastelike","","","cycle_1","12_MAP"
"28","X12map_flour_based_meal_overalperfoflour","","","cycle_1","12_MAP"
"29","X12map_flour_based_meal_stickinesspaste","","","cycle_1","12_MAP"
"30","X12map_flour_based_meal_tastecasspaste","","","cycle_1","12_MAP"
"31","X12map_flour_based_meal_texturepaste","","","cycle_1","12_MAP"
"32","X12map_harvest_field_diseaseresistanc","","","cycle_1","12_MAP"
"33","X12map_harvest_field_overallrootlike","","","cycle_1","12_MAP"
"34","X12map_harvest_field_overalperfharvst","","","cycle_1","12_MAP"
"35","X12map_harvest_field_rootcotcolor","","","cycle_1","12_MAP"
"36","X12map_harvest_field_rootofsize","","","cycle_1","12_MAP"
"37","X12map_harvest_field_rootshapes","","","cycle_1","12_MAP"
"38","X12map_harvest_field_rootyieldcass","","","cycle_1","12_MAP"
"39","X12map_harvest_field_stemquality","","","cycle_1","12_MAP"
"40","d9map22_generalappearanc","","","cycle_2","9_MAP"
"41","d9map22_overallbest9map","","","cycle_2","9_MAP"
"42","d9map22_plantheightabove","","","cycle_2","9_MAP"
"43","d9map22_stemquality","","","cycle_2","9_MAP"
"44","d9map22_suitabilitysoils","","","cycle_2","9_MAP"
"45","tricot2021_2022boiledmealdataat12map_qst_bestcookedclone","","","cycle_2","12_MAP"
"46","tricot2021_2022boiledmealdataat12map_qst_bitternboiledroots","","","cycle_2","12_MAP"
"47","tricot2021_2022boiledmealdataat12map_qst_fibrousnessboiledroots","","","cycle_2","12_MAP"
"48","tricot2021_2022boiledmealdataat12map_qst_mealinessroots","","","cycle_2","12_MAP"
"49","tricot2021_2022boiledmealdataat12map_qst_prefboiledfood","","","cycle_2","12_MAP"
"50","tricot2021_2022boiledmealdataat12map_qst_prefboiledroots","","","cycle_2","12_MAP"
"51","tricot2021_2022boiledmealdataat12map_qst_prefcookedcolor","","","cycle_2","12_MAP"
"52","tricot2021_2022boiledmealdataat12map_qst_softnessboiledroots","","","cycle_2","12_MAP"
"53","tricot2021_2022boiledmealdataat12map_qst_tasteboiledroots","","","cycle_2","12_MAP"
"54","tricot2021_2022fieldharvestdataat12map_qst_fleshcolor","","","cycle_2","12_MAP"
"55","tricot2021_2022fieldharvestdataat12map_qst_freshrootshape","","","cycle_2","12_MAP"
"56","tricot2021_2022fieldharvestdataat12map_qst_freshrootsize","","","cycle_2","12_MAP"
"57","tricot2021_2022fieldharvestdataat12map_qst_freshrootyield","","","cycle_2","12_MAP"
"58","tricot2021_2022fieldharvestdataat12map_qst_ovperfrootharvest","","","cycle_2","12_MAP"
"59","tricot2021_2022fieldharvestdataat12map_qst_performharvest","","","cycle_2","12_MAP"
"60","tricot2021_2022fieldharvestdataat12map_qst_qualitystems","","","cycle_2","12_MAP"
"61","tricot2021_2022flour.basedmealdataat12map_qst_colorflourbasedmeal","","","cycle_2","12_MAP"
"62","tricot2021_2022flour.basedmealdataat12map_qst_compflourused","","","cycle_2","12_MAP"
"63","tricot2021_2022flour.basedmealdataat12map_qst_dryingtimechips","","","cycle_2","12_MAP"
"64","tricot2021_2022flour.basedmealdataat12map_qst_easemingleflour","","","cycle_2","12_MAP"
"65","tricot2021_2022flour.basedmealdataat12map_qst_performflourmeal","","","cycle_2","12_MAP"
"66","tricot2021_2022flour.basedmealdataat12map_qst_performplantflourmeal","","","cycle_2","12_MAP"
"67","tricot2021_2022flour.basedmealdataat12map_qst_sticknesspaste","","","cycle_2","12_MAP"
"68","tricot2021_2022flour.basedmealdataat12map_qst_tastecassavapaste","","","cycle_2","12_MAP"
"69","tricot2021_2022flour.basedmealdataat12map_qst_texturecassavapaste","","","cycle_2","12_MAP"
"70","tricot2021mid.altitudedata.6map_aboutdiseaseres","","","cycle_2","6_MAP"
"71","tricot2021mid.altitudedata.6map_aboutpestresis","","","cycle_2","6_MAP"
"72","tricot2021mid.altitudedata.6map_branchhabit","","","cycle_2","6_MAP"
"73","tricot2021mid.altitudedata.6map_generalappearanc","","","cycle_2","6_MAP"
"74","tricot2021mid.altitudedata.6map_stemquality","","","cycle_2","6_MAP"
"75","tricot2021mid.altitudedatacollection.d3map_aboutdiseaseres","","","cycle_2","3_MAP"
"76","tricot2021mid.altitudedatacollection.d3map_aboutpestresis","","","cycle_2","3_MAP"
"77","tricot2021mid.altitudedatacollection.d3map_aboutvigor","","","cycle_2","3_MAP"
"78","tricot2021mid.altitudedatacollection.d3map_germination","","","cycle_2","3_MAP"
